contig	cov_mean_sample_0314	cov_mean_sample_0322	cov_mean_sample_0328	cov_mean_sample_0403	cov_mean_sample_0416	cov_mean_sample_0419	cov_mean_sample_0423	cov_mean_sample_0507	cov_mean_sample_0516	cov_mean_sample_0521	cov_mean_sample_0531	cov_mean_sample_0604	cov_mean_sample_0613	cov_mean_sample_0619	cov_mean_sample_0628	cov_mean_sample_0705	cov_mean_sample_0709	cov_mean_sample_0717	cov_mean_sample_0802	cov_mean_sample_0806	cov_mean_sample_0813	cov_mean_sample_0820	cov_mean_sample_0823	cov_mean_sample_0828	cov_mean_sample_0903	cov_mean_sample_0910	cov_mean_sample_0920	cov_mean_sample_0924	cov_mean_sample_1001	cov_mean_sample_1004	cov_mean_sample_1015	cov_mean_sample_1022	cov_mean_sample_1028	cov_mean_sample_1105	cov_mean_sample_1123	cov_mean_sample_1128	cov_mean_sample_1220
OTU_516	0	0	0	0	0	0.236534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1002	0	0	0	0	0	0	0	0	2.779814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1001	0	0	0	0	0	0	0	0	0	0	0	0	0.239336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_942	0	0	0	0	0	0	0	0	0	0	0	0	0.250000	0.749999	0	0	0.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.250000	0	0	0	0	0
OTU_258	0	0.237089	0	0	0	0.474178	0	0	0	0	0.948356	0	1.091548	2.549295	0.237089	0	0	0	0.237089	0.474178	0.948357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.251244	0	0	0	0	0	0	0	0	0	0	0
OTU_705	0	0	0	0	0	0	0	0	0	0	0	0	0	0.251244	0	0	0	0	0	0	0	0	0.251244	0	0	0	0	0	1.004976	0	0.502487	0	0.251244	0	0	0.502487	1.256219
OTU_21	0.248157	0.248157	0	0	0	0.248157	0	7.289921	0	1.240785	1.309581	0	2.228500	7.941027	2.388204	1.985256	6.700241	4.683044	0.992628	0.496314	2.481570	4.953314	2.628991	2.977884	0.744471	0.496314	2.977886	3.960685	1.982799	0.496314	1.078623	0.744471	1.488943	1.488942	0	0	0.744471
OTU_20	1.962778	4.511166	1.367246	0.501241	4.724569	0.900745	0.250620	0.501240	0.501240	0	0	0.250620	1.002483	0.501240	0.751862	0	0	0.751860	0	0	0	0	2.848634	0	0	3.173697	2.255584	4.379652	2.004963	0	0.732012	0.250620	0	1.503720	0.250620	0.168734	2.498759
OTU_23	0	0.236534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_24	0	1.914694	0	0	1.033175	1.196682	0.718010	0.478673	0	0	0	0	0.478672	4.068719	0.478673	0	0.239336	0	0.239336	0	0.478672	0	0.239336	0	0	0.239336	0	0.478673	0.957344	0.239336	0.239336	0.239336	0	0	0.239336	0.478673	2.291469
OTU_27	0	0	0	0	0	0	0	0	0.250620	0	0	0	0.751860	0.250620	0	0	0.501240	0	0	0	0	0	1.503722	0	0	0.501241	0.751861	0.751861	0	0	1.253102	0.250620	0	0	0	0.501240	0.250620
OTU_26	0	0.239336	0	0	0	0	0	7.898100	0	0.478673	0	0	0	0	0	0.478673	0	0.239336	0.957347	0	2.154028	5.504738	4.926543	0	0	0.718009	1.675353	6.992895	2.431281	0.718008	1.436019	0.718009	0.718009	2.864931	0	0.239336	1.912320
OTU_29	0	0	0	0	0	0	0	0	0	0	0	0	0	0.502488	0	0	0	0	0	0	0.502487	0	0.502488	0.500000	0.502487	0	0	0	0.251244	0	0	0	0.251244	0	0	0	0
OTU_28	0.213930	2.176616	0	0	0	0	0	0.753731	1.004976	0	0	0	0	0.753730	0.251244	0	0	0	0	0.251244	0	0.251244	1.507460	0	0	3.014927	0	0	0.251244	0	0	0	0	0.502488	0	0.251244	0
OTU_1199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_606	0	0	0	0	0.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_607	0	0	0	0	0	0	0	0	0	0	0.236534	0	0	0.913347	0	0	0.946137	0	1.988291	0.709602	0.709602	0	0	0	0	0	0	0	0	0	0	0	0.473068	0	0	0	0
OTU_604	0	0	0	0	0	0	0	2.845071	0	0	0	0	0	0	0	0	0	0	0	0	0	1.185445	0.711267	0	0	0	0.237089	1.896713	0	0	0	0.948357	0.237089	0.474178	0	0	0.237089
OTU_605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_600	0.248768	0	4.226599	4.593593	0	0	0	3.573888	0	0	0.746306	0	4.470438	12.130542	0.497537	0.497536	1.167487	0	0	0.995073	0.497537	2.985218	2.736455	0	0	23.997538	11.884231	1.359606	5.224134	1.492611	1.490147	0	3.174875	0	0	0	0
OTU_601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
